dataset,brid,pipeid
utilb,"152,700",{0992DA5A-BF43-4C7E-A6F6-A7F27B63B046}
utilb,"152,702",{388B0589-D8EC-4E7C-989B-9D824C640726}
utilb,"152,703",{EF876C31-152B-4B73-A68A-1D6C60A6B209}
utilb,"152,708",{81033A3F-7513-4605-A32C-6DF9583309E4}
utilb,"15,271",{67879280-2970-4C23-90BF-09C0DBCD00D9}
utilb,"152,713",{E20C27F3-8064-41E5-8872-28FE3D2E01B2}
utilb,"152,714",{E20C27F3-8064-41E5-8872-28FE3D2E01B2}
utilb,"152,715",{C21D6EDB-4430-4914-B979-D8585640DE5B}
utilb,"152,716",{1F9FEFDD-C7DE-4D18-8022-DDE8153055EF}
utilb,"152,717",
utilb,"152,718",{B378BDB8-EB1F-4D2A-8C46-304CB957726D}
utilb,"152,719",{4E7C838B-2316-4AD9-918A-576AF7985B98}
utilb,"15,272",{AFF80350-8948-4675-9D42-5D9DB1264782}
utilb,"152,720",{7F3CE4C5-FEC5-4FDD-A3EB-454FB971BF0E}
utilb,"152,721",{9B625307-B9C6-4F9E-8CC1-9DB561EA4B01}
utilb,"152,723",{EAC59D0A-FDC9-4BB3-ACF2-2F7C578CA883}
utilb,"152,724",{051CE7D8-0ECC-42E1-9EA1-53B04BFB6EE8}
utilb,"152,725",{BCE57D5C-DA44-462B-97E6-62DF882E9AFA}
utilb,"152,734",{E855DF47-3873-4F63-89E2-579303CB586E}
utilb,"152,737",{BB3B6DE2-FFCE-4040-BF97-081C35D6FED4}
utilb,"15,274",{6AAF8A03-C164-4EFC-8123-4644B79DFA30}
utilb,"152,740",{EA9234A4-7222-41B1-88F9-F44E7DFAA057}
utilb,"152,741",{82F3CA5F-97CB-4CE8-AA1F-430A1848E379}
utilb,"152,747",{F142820C-26EA-4055-B923-C580C741301F}
utilb,"152,748",{EA4C6DA0-BB67-42FD-8183-55A9561EC765}
utilb,"15,275",{A5085F44-EA43-4636-972C-933902058EA3}
utilb,"152,751",{B360E5D2-09CF-45DE-A169-9C741F1E8D44}
utilb,"152,757",{23A7CE92-FDE9-4985-918D-4B1912B0F99F}
utilb,"15,276",{F9D637BB-8AF4-495A-A876-E8696B090E4B}
utilb,"152,760",{9076BDFB-2755-405A-9A5B-814394047130}
utilb,"152,761",{9119E99B-1C1C-4A84-A4F5-FC72B1B04FAE}
utilb,"152,762",{A4375579-BA05-4CB6-A586-516B80098AF1}
utilb,"152,764",
utilb,"152,766",{B6777A0F-3F7F-4CD3-B8D4-CE392A31A5A1}
utilb,"152,768",{E7757924-4F1B-4246-B76A-77AAA053031F}
utilb,"152,769",{BDD45533-8162-4F10-AEDE-AC363F086BF0}
utilb,"15,277",{B55AB0BE-667A-4753-B0A6-AD86CBC11EB6}
utilb,"152,770",
utilb,"152,772",{DE15A064-6036-4DC1-85C7-72C965472A6C}
utilb,"152,773",{FEEA6440-0D53-4838-8E22-849663431CB0}
utilb,"152,774",{7C3DD710-011F-4EFC-95B2-B0302CF7C526}
utilb,"152,775",{B1AE71D5-33E8-47A5-B0CC-EA5D7BB91E6F}
utilb,"152,776",{033D4598-C858-4F3A-B83F-CCD8B531D5C0}
utilb,"152,777",{DCE5B172-6C23-4100-9AE1-01213752AFFC}
utilb,"152,778",{6B522FB8-D611-414B-ACA3-E91734C9EF01}
utilb,"152,863",{CE0CC081-F539-4B07-9D40-47228B08C810}
utilb,"152,779",{1CFAC291-52FE-4A5C-A771-FD6A21F9B11B}
utilb,"15,278",{60B49BDB-5618-4584-A266-90CCBD4BBBC3}
utilb,"152,781",{40ABFD71-8AED-4260-BFC2-2F6AE68E3091}
utilb,"152,782",{ED3896B3-8975-4D54-B7FB-9A63552B256F}
utilb,"152,783",{6C4F3C36-E053-4E08-9D50-18EF99CFA179}
utilb,"152,784",{144437CE-E7A3-4DC7-B443-D0C36F6EB8DB}
utilb,"152,785",{D5E8141A-074A-465E-862E-8B91C8E91D06}
utilb,"152,786",{5E6AA91E-436E-4AED-A939-3D8C4B29F122}
utilb,"15,279",{B404B729-BC57-4800-B4AF-C80DAD76925C}
utilb,"152,790",{E0916809-DF12-4FCB-94EF-29E9E43CDF21}
utilb,"152,792",
utilb,"152,793",{A263D39D-A060-4629-97D1-52CD4CE970BF}
utilb,"152,794",{144437CE-E7A3-4DC7-B443-D0C36F6EB8DB}
utilb,"1,528",{AECAB313-5BF2-45CE-BECA-6E05D11F2BB3}
utilb,"15,280",
utilb,"152,802",{46F52FAD-0294-4BF2-8318-2EA59E5074E8}
utilb,"15,281",{0C1D9626-5D8B-4637-B989-B1D764136BA9}
utilb,"152,810",{144437CE-E7A3-4DC7-B443-D0C36F6EB8DB}
utilb,"152,811",{83583969-E448-4959-AAF2-DA14F765B194}
utilb,"152,812",{CBBF0029-5118-4A00-8EB7-6E0A1BFD2A2A}
utilb,"152,815",{C9977885-8703-449C-BAB5-C4E097691ECE}
utilb,"15,282",{774872D5-5623-4952-8CC6-89DE3DBA6583}
utilb,"152,820",{39729368-2CE8-4A7C-8198-D1A8D23AC36C}
utilb,"152,821",{38B4329D-E312-4464-BD19-B30650261C89}
utilb,"152,824",{A82F0356-C919-4E05-B90E-98CA8A010DF9}
utilb,"15,283",{E4E0E5F4-6135-46B5-B9D7-4423BF059709}
utilb,"152,831",{E6369361-C0E1-4D57-8F66-6219E67220EA}
utilb,"152,834",
utilb,"152,835",{D2A4DA10-3637-4EFE-8F17-BC8B958D123E}
utilb,"152,836",{47E2259B-B3C9-4A9C-81CB-D82137410A80}
utilb,"152,838",{771CB931-A5CD-4E6C-8FFD-B87F08FF4949}
utilb,"152,839",{55BF6F11-01E4-4AB7-AFD7-40F40F15E0A3}
utilb,"15,284",{45CF2257-603B-45FC-AE01-08960B051F13}
utilb,"152,840",{1D14E68F-DCB8-4397-80DB-C93BE356C482}
utilb,"152,841",
utilb,"152,846",{34028452-16DD-48CA-A063-F9E44FC667F9}
